"Stop ID","Stop Name","Latitude","Longitude","2022_Avg_Board","2022_Avg_Alight","2022_Max_Number_of_Days","2023_Avg_Board","2023_Avg_Alight","2023_Max_Number_of_Days","2021_Avg_Board","2021_Avg_Alight","2021_Max_Number_of_Days","2020_Avg_Board","2020_Avg_Alight","2020_Max_Number_of_Days","2019_Avg_Board","2019_Avg_Alight","2019_Max_Number_of_Days","2018_Avg_Board","2018_Avg_Alight","2018_Max_Number_of_Days","2017_Avg_Board","2017_Avg_Alight","2017_Max_Number_of_Days","Nearest_In","routes","Direction","Trans_P","Frequency_AM_Peak","Frquency_Midday","Frequency_PM_Peak","Frequency_Evening","Frequency_Late_Night"
"27760","Sharon Amity Rd & Holbrook Dr",35.1956276,-80.7651977,3.416666667,5.083333333,31,3.090909091,4.090909091,31,2.666666667,4.75,31,3.25,5.75,31,2.5,10.5,31,1.083333333,4,31,7.666666667,12.16666667,31,"INDEPENDENCE & HOLBROOK","17","not applicable","transfer point",2,2,2,3,0
"27770","Sharon Amity Rd & Amity Pl",35.1968317,-80.7627636,263.5833333,229.6666667,31,331,313.2727273,31,254.6666667,190.6666667,31,292.0833333,189.9166667,31,548.3333333,377.4166667,31,474.75,343.0833333,31,203.4166667,229.6666667,31,"KIPLING & AMITY","17, 221, 28, 29","not applicable","not a transfer point",6,8,8,4,0
"27780","Sharon Amity Rd & Amity Springs Dr",35.1992217,-80.7609225,69.91666667,142.4166667,31,106,166.8181818,31,56.41666667,137.1666667,31,74.16666667,167.6666667,31,172.25,253.25,31,131.4166667,193.25,31,106.75,160.0833333,31,"CORONADO & AMITY SPRINGS","17, 28, 29","not applicable","not a transfer point",4,6,6,1,1
"27790","Sharon Amity Rd & Pierson Dr",35.1971153,-80.7626291,83,204.25,31,184.3636364,300.2727273,31,86.08333333,241.5,31,115.1666667,251,31,302.5833333,523.6666667,31,248,508.75,31,186.3333333,258.3333333,31,"AMITY & CORONADO","17, 28, 29","not applicable","transfer point",4,6,6,1,1
"27800","Sharon Amity Rd & Amity Springs Dr",35.1991808,-80.7607458,376.75,256.9166667,31,474.7272727,291.0909091,31,328.25,236.6666667,31,458.1666667,318.25,31,762.3333333,517.9166667,31,637.0833333,413.3333333,31,622.4166667,337.1666667,31,"CORONADO & AMITY SPRINGS","17, 221, 28, 29","not applicable","not a transfer point",6,8,8,4,0
"27810","Sharon Amity Rd & Albemarle Rd",35.201007,-80.7607303,68.75,129.75,31,86.63636364,220.7272727,31,64.08333333,155.6666667,31,98.91666667,191.5,31,156.4166667,307.25,31,139,329.25,31,115.8333333,290.0833333,31,"AMITY SPRINGS & ALBEMARLE","17, 28, 29","not applicable","not a transfer point",4,6,6,1,1
"27820","Sharon Amity Rd & Albemarle Rd",35.2024303,-80.7603756,186.3333333,85.41666667,31,238.0909091,117.3636364,31,183.5833333,70.41666667,31,200.25,95.83333333,31,363,158.1666667,31,381.0833333,176.3333333,31,319.9166667,149.1666667,31,"ALBEMARLE & CAMPBELL","17, 28, 29","not applicable","not a transfer point",5,6,6,2,0
"27830","Sharon Amity Rd & Campbell Dr",35.2042854,-80.7599808,31.16666667,202.3333333,31,56.45454545,241.3636364,31,23,219,31,32.41666667,214.5,31,88.25,379.75,31,103,415.6666667,31,105.0833333,428.5,31,"CAMPBELL & SPANISH QUARTER","17, 28, 29","not applicable","not a transfer point",5,6,6,1,1
"27840","Sharon Amity Rd & Clearmont Ave",35.2060523,-80.7584866,202.3333333,253.8333333,31,338.2727273,311.0909091,31,205.4166667,242.5833333,31,252.0833333,248.4166667,31,489.3333333,395.1666667,31,352.6666667,321.5,31,297.6666667,324.75,31,"CAMPBELL & CLEARMONT","17, 28, 29","not applicable","transfer point",5,6,6,2,0
"27850","Sharon Amity Rd & Clearmont Ave",35.2070758,-80.7581319,112.3333333,187.4166667,31,131,294.7272727,31,127.9166667,179.4166667,31,90.16666667,228.75,31,161.75,312.8333333,31,112.25,192,31,146.75,239.6666667,31,"CLEARMONT & SPANISH QUARTER","17, 28, 29","not applicable","transfer point",5,6,6,1,1
"27860","Sharon Amity Rd & Central Ave",35.2082748,-80.7575618,582.25,253,27,587.0909091,313.0909091,27,436,216.9166667,27,347.9166667,239.8333333,27,497.1666667,406.25,27,431.75,386.25,27,200.3333333,292.5,27,"CLEARMONT & SPANISH QUARTER","28, 29","outbound","transfer point",3,4,4,0,0
"27870","Sharon Amity Rd & Central Ave",35.2086278,-80.7576421,365.75,656.9166667,31,727.3636364,859.2727273,31,376.4166667,588.1666667,31,521.9166667,674.5,31,1242.5,1140.5,31,1246.083333,1053.916667,31,1176.833333,651.75,31,"SPANISH QUARTER & CENTRAL","17, 28, 29","not applicable","transfer point",5,6,6,1,1
"27890","Sharon Amity Rd & Central Ave",35.2111448,-80.7566416,463.6666667,102.6666667,31,538.6363636,118.4545455,31,377.9166667,78.16666667,31,536.4166667,132.5833333,31,816.4166667,121.6666667,31,810,112.1666667,31,730.25,187.5,31,"CENTRAL & WILORA LAKE","222, 29","outbound","transfer point",3,3,3,1,0
"27910","Sharon Amity Rd & Central Ave",35.2117865,-80.7565626,27.16666667,829.25,31,35,990.2727273,31,32.83333333,699.0833333,31,38.25,846,31,45.25,1379.916667,31,49.83333333,1388.75,31,70.16666667,1287.833333,31,"CENTRAL & WILORA LAKE","222, 29","inbound","not a transfer point",3,3,3,1,0
"27920","Sharon Amity Rd & Wilora Lake Rd",35.2143001,-80.7554883,11.16666667,7.25,31,19.81818182,5.363636364,31,21.16666667,18.25,31,31.16666667,9.583333333,31,54.08333333,18.91666667,31,37.25,27.25,31,44.08333333,27.41666667,31,"WILORA LAKE & AUBURNDALE","222, 29","outbound","not a transfer point",3,3,3,1,0
"27950","Sharon Amity Rd & Auburndale Rd",35.2155641,-80.7552608,5.5,15.58333333,31,4,15.72727273,31,6,17.16666667,31,6.25,27.08333333,31,4.833333333,31.91666667,31,4.833333333,33.58333333,31,18.16666667,44.66666667,31,"WILORA LAKE & AUBURNDALE","222, 29","inbound","not a transfer point",3,3,3,1,0
